calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp,stage,velocity_x,velocity_y,velocity_z
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95873.7954456562,7.810000000000002,536.6,145.6286,Stabilization,-50.67048067999958,-2.552418609999947,-9.61742681000026
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95819.81684733891,7.810000000000002,536.42,145.6571,Stabilization,-50.66980237999958,-2.553866409999947,-9.61596761000026
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95811.21654479795,7.810000000000002,536.25,145.6857,Stabilization,-50.66912169999958,-2.555319289999946,-9.614503290000261
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95911.10770056899,7.810000000000002,536.08,145.7143,Stabilization,-50.66844101999958,-2.5567721699999466,-9.613038970000261
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95692.85984038337,7.810000000000002,535.91,145.7429,Stabilization,-50.667760339999575,-2.5582250499999457,-9.611574650000263
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95833.70808391889,7.810000000000002,535.74,145.7714,Stabilization,-50.66708203999958,-2.559672849999946,-9.610115450000261
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95782.35335401488,7.82000000000005,535.56,145.8,Stabilization,-50.666401359999576,-2.5611257299999464,-9.608651130000261
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95786.81244394583,7.82000000000005,535.39,145.8286,Stabilization,-50.66572067999957,-2.5625786099999455,-9.607186810000263
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95752.78676220137,7.82000000000005,535.22,145.8571,Stabilization,-50.665042379999576,-2.5640264099999457,-9.605727610000262
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95677.23827909074,7.82000000000005,535.05,145.8857,Stabilization,-50.664361699999574,-2.565479289999946,-9.604263290000262
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95777.69193238538,7.82000000000005,534.88,145.9143,Stabilization,-50.66368101999957,-2.5669321699999452,-9.602798970000263
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95799.77268574675,7.82000000000005,534.7,145.9429,Stabilization,-50.66300033999957,-2.5683850499999457,-9.601334650000263
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95800.91354199809,7.82000000000005,534.53,145.9714,Stabilization,-50.66232203999957,-2.5698328499999445,-9.599875450000264
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95750.25139311417,7.82000000000005,534.36,146.0,Stabilization,-50.66164135999957,-2.571285729999945,-9.598411130000263
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0936,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95746.11781634444,7.82000000000005,534.19,146.0286,Stabilization,-50.66096067999957,-2.5727386099999454,-9.596946810000263
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95714.94763097297,7.82000000000005,534.01,146.0571,Stabilization,-50.66028237999957,-2.5741864099999443,-9.595487610000264
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95783.44003590573,7.82000000000005,533.84,146.0857,Stabilization,-50.65960169999957,-2.5756392899999447,-9.594023290000264
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95743.9090575514,7.82000000000005,533.67,146.1143,Stabilization,-50.65892101999957,-2.577092169999944,-9.592558970000265
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95709.21700110653,7.82000000000005,533.5,146.1429,Stabilization,-50.658240339999566,-2.5785450499999443,-9.591094650000265
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9648,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95783.17756414892,7.82000000000005,533.33,146.1714,Stabilization,-50.65756203999957,-2.5799928499999445,-9.589635450000264
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95847.12310907478,7.830000000000041,533.15,146.2,Stabilization,-50.656881359999566,-2.5814457299999436,-9.588171130000266
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95875.6699176157,7.830000000000041,532.98,146.2286,Stabilization,-50.656200679999564,-2.582898609999944,-9.586706810000265
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95746.09863876177,7.830000000000041,532.81,146.2571,Stabilization,-50.65552237999957,-2.5843464099999442,-9.585247610000264
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0508,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95815.14681894484,7.830000000000041,532.64,146.2857,Stabilization,-50.654841699999565,-2.5857992899999434,-9.583783290000266
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95655.55137795629,7.830000000000041,532.47,146.3143,Stabilization,-50.65416101999956,-2.587249309999944,-9.582318970000266
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95863.48170730703,7.830000000000041,532.29,146.3429,Stabilization,-50.65348033999956,-2.588699329999943,-9.580854650000267
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95723.21288000171,7.830000000000041,532.12,146.3714,Stabilization,-50.652802039999564,-2.5901442799999432,-9.579395450000266
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95751.48203761721,7.830000000000041,531.95,146.4,Stabilization,-50.65212135999956,-2.5915942999999437,-9.577931130000266
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95885.22845077576,7.830000000000041,531.78,146.4286,Stabilization,-50.65144067999956,-2.593044319999943,-9.576466810000268
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95767.33805486724,7.830000000000041,531.61,146.4571,Stabilization,-50.65076237999956,-2.594489269999943,-9.575007610000267
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95783.51824870904,7.830000000000041,531.43,146.4857,Stabilization,-50.65008169999956,-2.5959392899999436,-9.573543290000266
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95777.4827674588,7.830000000000041,531.26,146.5143,Stabilization,-50.64940101999956,-2.5973893099999428,-9.572078970000268
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.2499,0.184834,-0.732475,-0.334867,-0.563186,95775.16521932054,7.830000000000041,531.09,146.5429,Stabilization,-50.64872033999956,-2.5988393299999433,-9.570614650000268
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95785.02318402159,7.830000000000041,530.92,146.5714,Stabilization,-50.64804203999956,-2.6002842799999435,-9.569155450000267
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95745.97984471236,7.840000000000032,530.74,146.6,Stabilization,-50.64736135999956,-2.6017342999999427,-9.567691130000268
